"Date","Activity","Quantity","Symbol","Description","Price","Comm.","Fees","Amount",
"11/07/14","Bought ","86","T","AT&amp;T INC","$34.8999","4.95","","-$3,006.34",
"11/07/14","Bought ","45","COH","COACH INC","$33.7199","4.95","","-$1,522.35",
"10/08/14","Sold ","-50","JNJ","JOHNSON &amp; JOHNSON","$102.82","4.95","$0.13","$5,135.92",
"10/08/14","Sold ","-303","WGL","WGL HOLDINGS INC","$42.9110","4.95","$0.33","$12,996.75",
"07/25/14","Bought ","44","COH","COACH INC","$34.6799","4.65","","-$1,530.57",
"07/25/14","Bought ","16","CBRL","CRACKER BARREL OLD COUNTRY","$97.4699","0","","-$1,559.52",
"05/06/14","Bought ","95","HCP","HCP INC","$42.1399","0","","-$4,003.29",
"05/05/14","Bought ","200","WGL","WGL HOLDINGS INC","$38.6498","0","","-$7,729.96",
"05/02/14","Bought ","100","JNJ","JOHNSON &amp; JOHNSON","$99.50","0","","-$9,950.00",
"05/01/14","Bought ","100","HCP","HCP INC","$41.9696","0","","-$4,196.96",
"05/01/14","Bought ","100","WGL","WGL HOLDINGS INC","$39.4990","0","","-$3,949.90",
